model,manufacturer,prodYear,price,engineVolume,mileage
RX 450,LEXUS,2010,13328,3.5,186005 km
Equinox,CHEVROLET,2011,16621,3,192000 km
FIT,HONDA,2006,8467,1.3,200000 km
Escape,FORD,2011,3607,2.5,168966 km
FIT,HONDA,2014,11726,1.3,91901 km
Santa FE,HYUNDAI,2016,39493,2,160931 km
Prius,TOYOTA,2010,1803,1.8,258909 km
Sonata,HYUNDAI,2013,549,2.4,216118 km
Camry,TOYOTA,2014,1098,2.5,398069 km
RX 350,LEXUS,2007,26657,3.5,128500 km
E 350,MERCEDES-BENZ,2014,941,3.5,184467 km
Transit,FORD,1999,8781,4,0 km
Vectra,OPEL,1997,3000,1.6,350000 km
RX 450,LEXUS,2013,1019,3.5,138038 km
Santa FE,HYUNDAI,2016,59464,2,76000 km
CHR,TOYOTA,2018,549,2,74146 km
Elantra,HYUNDAI,2016,7683,1.8,121840 km
Elantra,HYUNDAI,2016,28382,1.8,54317 km
Sonata,HYUNDAI,2006,549,3.3,295059 km
RX 400,LEXUS,2008,941,3.5,364523 km
Elantra,HYUNDAI,2012,18826,1.6,112645 km
Prius,TOYOTA,2012,20698,1.8,187000 km
Camry,TOYOTA,2017,17562,2.5,39709 km
Transit,FORD,2001,7840,2.0 Turbo,230000 km
Vectra,OPEL,1995,4704,1.8,0 km
E 220,MERCEDES-BENZ,2006,20385,2.2 Turbo,210000 km
GX 470,LEXUS,2008,549,4.7,0 km
Prius,TOYOTA,2008,30,1.5,169000 km
Elantra,HYUNDAI,2011,14454,1.6,158787 km
Highlander,TOYOTA,2009,12074,3.3,420550 km
Vito,MERCEDES-BENZ,2007,15681,2.0 Turbo,180000 km
Cayenne,PORSCHE,2014,19444,3,175056 km
X5,BMW,2000,6899,4.4,200000 km
Highlander,TOYOTA,2008,125,3.3,287274 km
Grand Cherokee,JEEP,2007,24462,3.0 Turbo,250000 km
Santa FE,HYUNDAI,2011,23235,2,162000 km
CHR Limited,TOYOTA,2019,51746,2,10200 km
FIT,HONDA,2010,7527,1.3,158000 km
Elantra,HYUNDAI,2012,19121,1.6,103490 km
RX 450,LEXUS,2010,314,3.5,382746 km
Camry,TOYOTA,2013,24462,2.4,203200 km
H1,HYUNDAI,2016,45734,2.5,61057 km
Jetta,VOLKSWAGEN,2016,20165,1.4 Turbo,11200 km
Sonata,HYUNDAI,2014,21326,2.4,141000 km
Cayenne,PORSCHE,2010,549,3.6,160259 km
Tacoma,TOYOTA,2013,220,4,239342 km
Prius C,TOYOTA,2012,15681,1.5,128000 km
Santa FE,HYUNDAI,2017,55390,2,100734 km
Aqua,TOYOTA,2012,12544,1.5,141500 km
Escape Hybrid,FORD,2008,17249,2.3,147000 km
Civic,HONDA,2016,34889,2,87768 km
Q7,AUDI,2015,862,3,264014 km
Megane 1.5CDI,RENAULT,2008,14583,1.5 Turbo,132542 km
E 300,MERCEDES-BENZ,2017,392,2,1600 km
Q5,AUDI,2014,38500,2,87000 km
C 180,MERCEDES-BENZ,2001,8781,2,260000 km
GLA 250,MERCEDES-BENZ,2019,87112,2.0 Turbo,5323 km
Juke,NISSAN,2015,1411,1.6,87112 km
535,BMW,2012,392,3,204318 km
Cruze LT,CHEVROLET,2018,23521,1.4 Turbo,22000 km
Fusion,FORD,2013,16935,1.6 Turbo,83000 km
VOXY,TOYOTA,2007,10349,2.4,170000 km
Juke,NISSAN,2013,7213,1.6,312118 km
A 160,MERCEDES-BENZ,2004,5331,1.6,130000 km
Tucson,HYUNDAI,2013,20526,2,200279 km
Sonata,HYUNDAI,2015,9722,2,719847 km
H1,HYUNDAI,2014,34657,2.5,154672 km
H1,HYUNDAI,2016,36564,2.5,110969 km
Camry,TOYOTA,2013,314,2.5,225510 km
Vitz,TOYOTA,2001,5488,1.5,210000 km
H1,HYUNDAI,2015,30063,2.5,148105 km
Captiva,CHEVROLET,2011,15800,2.2,255456 km
H1,HYUNDAI,2017,43952,2.5,111643 km
Santa FE,HYUNDAI,2016,53154,2,84506 km
Prius,TOYOTA,2011,14740,1.8,288000 km
Mustang,FORD,2016,42337,2.3 Turbo,75000 km
ML 350,MERCEDES-BENZ,2014,3763,3.5,94362 km
Prius,TOYOTA,2012,18189,1.8,175000 km
GX 470,LEXUS,2008,862,4.7,263190 km
Escape,FORD,2009,220,2.5,193614 km
Highlander,TOYOTA,2010,5645,3.3,264877 km
Yaris,TOYOTA,2019,7527,1.5,27656 km
Civic,HONDA,2014,21953,1.4,16000 km
Cr-v,HONDA,1998,8154,2,0 km
Camry,TOYOTA,2012,21953,2.5,195053 km
Elantra,HYUNDAI,2012,19121,1.6,121362 km
Santa FE,HYUNDAI,2014,36065,2,69191 km
FIT,HONDA,2012,8781,1.3,83000 km
Cruze,CHEVROLET,2010,6247,1.8,40772 km
Orlando,CHEVROLET,2012,16289,2,172000 km
GL 63 AMG,MERCEDES-BENZ,2014,77775,5.5,433811 km
520 Vanos,BMW,1995,2822,2,350000 km
Forester,SUBARU,2012,549,2.5,148213 km
Lacetti,DAEWOO,2008,6981,2,103246 km
Elantra,HYUNDAI,2016,27284,2,105394 km
428 Sport Line,BMW,2013,32929,2.0 Turbo,160000 km
Patrol,NISSAN,1990,18817,2.8 Turbo,333333 km
Civic,HONDA,1997,4234,1.4,0 km
E 320,MERCEDES-BENZ,2004,15053,3.2,214000 km
Genesis,HYUNDAI,2009,15458,2,123346 km
Cruze,CHEVROLET,2014,2901,1.4,80827 km
911,PORSCHE,2013,706,3.8,64464 km
Fusion,FORD,2015,314,2,91760 km
GX 460,LEXUS,2010,15681,4.6,275240 km
Sprinter,MERCEDES-BENZ,2004,26657,2.2 Turbo,300000 km
Prius,TOYOTA,2007,10663,1.5,318400 km
Focus SE,FORD,2015,12858,2,91200 km
X5,BMW,2013,1019,3,137802 km
535,BMW,2013,549,3,151586 km
Picanto,KIA,2016,12858,1.2,107000 km
328,BMW,2008,15000,3,210408 km
Explorer,FORD,2017,85553,2.3,100567 km
H1,HYUNDAI,2016,44752,2.5,86000 km
Elantra,HYUNDAI,2010,17158,1.6,122740 km
Airtrek,MITSUBISHI,2005,12231,2.4,144000 km
E 500 AMG,MERCEDES-BENZ,2003,11917,5,150000 km
Lancer,MITSUBISHI,1997,1254,1.3,100000 km
FIT,HONDA,2003,94,1.5,178000 km
Korando,SSANGYONG,2013,25591,2,85704 km
Santa FE,HYUNDAI,2010,14897,2,58962 km
Camry,TOYOTA,2013,23521,2.5,90000 km
Clio,RENAULT,1995,3450,1.2,50000 km
616,MAZDA,2014,706,2.5,0 km
Highlander,TOYOTA,2009,1019,3.3,318358 km
Fusion,FORD,2015,16935,2,71454 km
Camry,TOYOTA,2012,19444,2.5,0 km
Sonata,HYUNDAI,2014,11604,2,346470 km
Santa FE,HYUNDAI,2016,51965,2,59515 km
Camry,TOYOTA,2014,706,2.5,115312 km
C 220,MERCEDES-BENZ,1999,9408,2.2 Turbo,111111 km
H1,HYUNDAI,2008,13328,2.5,74444 km
Serena,NISSAN,2012,17876,2,143000 km
Maxima,NISSAN,2004,549,3.5,299709 km
RAV 4,TOYOTA,2008,20071,2.4,135000 km
H1,HYUNDAI,2011,22894,2.5,124444 km
Civic,HONDA,2012,2901,1.5,146403 km
Pajero,MITSUBISHI,1997,15681,2.4,142000 km
GX 460,LEXUS,2010,39829,4.6,155821 km
GX 460,LEXUS,2015,706,4.6,102907 km
Sonata,HYUNDAI,2013,18660,2.4,130000 km
E 300,MERCEDES-BENZ,2017,22580,2,50930 km
Sonata,HYUNDAI,2014,11604,2,264872 km
Volt,CHEVROLET,2014,314,1.4,131893 km
TERRAIN,GMC,2013,5488,2.4,138958 km
208,MERCEDES-BENZ,1985,4300,2.5,1111111 km
Camry,TOYOTA,2018,18817,2.5,35058 km
Hr-v EX,HONDA,2015,21169,1.8,33330 km
500,FIAT,2011,9095,1.2,141000 km
Jetta,VOLKSWAGEN,2014,1568,2,82392 km
Legacy,SUBARU,2005,3136,2.0 Turbo,180000 km
Elantra sport limited,HYUNDAI,2013,17876,1.8,117920 km
Sonata,HYUNDAI,2016,11290,2,279787 km
Sienna,TOYOTA,2010,36065,3.5,227200 km
Camry,TOYOTA,2014,862,2.5,130478 km
H1,HYUNDAI,2012,21395,2.5,166144 km
Sonata,HYUNDAI,2016,15681,2,258706 km
Volt,CHEVROLET,2012,627,1.4,188419 km
Aqua,TOYOTA,2016,40070,1.5,25807 km
A 170,MERCEDES-BENZ,2008,11917,1.7,180000 km
NX 300,LEXUS,2018,72130,2.0 Turbo,18918 km
REXTON,SSANGYONG,2013,35927,2,137267 km
Prius,TOYOTA,2014,21012,1.8,160000 km
Tacoma,TOYOTA,2018,21012,3.5,27358 km
Carnival grand,KIA,2009,13172,2.9,84176 km
Genesis,HYUNDAI,2011,15624,2,107005 km
Vectra,OPEL,1997,4547,1.6,15000 km
QX60,INFINITI,2015,5488,3.5,124154 km
Elantra,HYUNDAI,2012,20005,1.6,104997 km
Passat,VOLKSWAGEN,2017,36110,1.8,27728 km
E 240 E 240,MERCEDES-BENZ,1998,7840,2.4,777777 km
1000,MAZDA,2019,470,2,11566 km
50,AUDI,2018,1300,0.5,4000 km
Santa FE,HYUNDAI,2016,43880,2,113700 km
C 250,MERCEDES-BENZ,2014,29479,1.8 Turbo,69000 km
Camry,TOYOTA,2011,17249,2.5,152000 km
Vitz funkargo,TOYOTA,2003,9408,1.5,181926 km
Santa FE,HYUNDAI,2016,44213,2,50255 km
325,BMW,2001,8467,2.5,252800 km
A6,AUDI,2014,627,3,164488 km
Transit,FORD,2011,21950,2.4 Turbo,125000 km
500,FIAT,2012,706,1.4,164574 km
Cruze,CHEVROLET,2014,3136,1.4,156992 km
Vectra,OPEL,1995,3450,2,0 km
Pajero,MITSUBISHI,1998,9408,3.5 Turbo,11000 km
Pathfinder,NISSAN,2010,31500,4,90200 km
Delica,MITSUBISHI,2005,20385,3,184000 km
E 350,MERCEDES-BENZ,2014,314,3.5,149486 km
Golf,VOLKSWAGEN,1996,2300,2,0 km
Vaneo,MERCEDES-BENZ,2004,7840,1.9,170000 km
Camry Se,TOYOTA,2018,56450,2.5,25000 km
Jetta,VOLKSWAGEN,2014,1490,2,113214 km
Tacoma,TOYOTA,2012,627,2.7,394069 km
E 350,MERCEDES-BENZ,2014,314,3.5,149486 km
Cr-v,HONDA,2002,13172,2.4,260000 km
Patrol Y60,NISSAN,1990,19757,2.8 Turbo,222222 km
A7,AUDI,2013,4704,3,301707 km
Sonata,HYUNDAI,2013,706,2.4,175827 km
E 350,MERCEDES-BENZ,2013,5802,3.5,107800 km
